nombre,marca,cantidades_disponibles,precio,precio_original,descripcion,referencia,url_producto,url_imagen
BENETTON COLORS WOMAN ROSE EAU DE TOILETTE,,80ml,$39.620,,"Colors Rose presenta una nueva manera de mirar al mundo a través de una paleta de colores plural y positiva. Un universo nuevo de fragancias con el que celebrar que lo que nos hace diferentes es también lo que nos une. Colors Rose se abre con una explosión antural de cítricos, haciendo un ramo florar ultra femenino en el corazón. La base deliciosamente gourmand agrega personalidad con fusión sensual de maderas y almizcle dulce.",11291,https://www.rp-luxury.com/es/fragancias-femeninas/11291-6986-benetton-colors-woman-rose-eau-de-toilette.html#/29-talla-80ml,C:\Users\Bruno\Downloads\Imagenes_fragancias_femeninas\11291.jpg
LANCOME LA VIE EST BELLE L´ELIXIR VERY CHERRY EDP,,100ml,$349.000,,"Ser tú misma nunca se sintió tan irresistible. La vie est belle Very Cherry celebra cada faceta de tu esencia: plena, audaz y libre. Vive sin pedir disculpas, con autenticidad y una confianza irresistible. Atrevida pero refinada, Very Cherry está diseñada para expresar, no para impresionar. Una reinterpretación de la cereza con un exquisito toque de profundidad amaderada. Una estela de larga duración para quienes abrazan la intensidad con elegancia. Ideal para el día a día, ya sea para una ocasión especial o para añadir un toque de distinción a tu rutina. Tu esencia más pura, pero más dulce e inesperada.",11290,https://www.rp-luxury.com/es/fragancias-femeninas/11290-6985-lancome-la-vie-est-belle-lelixir-very-cherry-edp.html#/34-talla-100ml,C:\Users\Bruno\Downloads\Imagenes_fragancias_femeninas\11290.jpg
CAROLINA HERRERA CH SWING LIMITED EDITION EDP,,100ml,$252.400,,"CH Swing de Carolina Herrera es una fragancia floral verde ambarina tan luminosa como irresistible. Se abre con una jugosa explosión de pera y limón verde, para un arranque fresco y vibrante. En su corazón, la cremosidad del coco se mezcla con el resplandor floral del ylang-ylang, en una oda a la feminidad refinada. Su estela es adictiva: un fondo cálido de vainilla aterciopelada, sándalo suave, avellana tostada y madera de cedro limpia, una firma CH moderna y de elegancia sin esfuerzo.",11288,https://www.rp-luxury.com/es/fragancias-femeninas/11288-6983-carolina-herrera-ch-swing-limited-edition-edp.html#/34-talla-100ml,C:\Users\Bruno\Downloads\Imagenes_fragancias_femeninas\11288.jpg
ARMANI MY WAY SUNNY VANILLA EAU DE PARFUM,,50ml | 90ml,$285.000,,"Déjate envolver por la calidez de un nuevo horizonte con My Way Sunny Vanilla, una deliciosa interpretación, bañada por el sol, de la icónica fragancia My Way. Este estimulante perfume floral-frutal es una invitación a disfrutar del resplandor de nuevos descubrimientos, capturando la sensación de una tarde dorada donde cada nota cuenta una historia de conexión y belleza consciente. Inspirado en la mujer curiosa, auténtica y dispuesta a ampliar sus horizontes, Sunny Vanilla es un testimonio del compromiso de Armani con el planeta. Elaborado con ingredientes de origen responsable de todo el mundo —desde los campos de la India hasta las costas de Madagascar— es un perfume femenino que honra el mundo que exploramos y a las personas que encontramos en el camino.",11279,https://www.rp-luxury.com/es/fragancias-femeninas/11279-6972-armani-my-way-sunny-vanilla-eau-de-parfum.html#/33-talla-50ml,C:\Users\Bruno\Downloads\Imagenes_fragancias_femeninas\11279.jpg
HERMES UN JARDIN SOUS LA MER EAU DE TOILETTE RECARGABLE,,100ml,$339.000,,"LA CREACIÓN Con el eau de toilette Un Jardin sous la Mer, Christine Nagel, perfumista de Hermès, responde a la llamada del mar e invita a descubrir un jardín inesperado. Nos transporta a una escala lejana en la Polinesia, en la isla de Tahaa. Un lugar protegido, en el que montes y arrecifes, plantas y corales dialogan en perfecta armonía.",11240,https://www.rp-luxury.com/es/fragancias-masculinas/11240-6940-hermes-un-jardin-sous-la-mer-eau-de-toilette-recargable.html#/34-talla-100ml,C:\Users\Bruno\Downloads\Imagenes_fragancias_femeninas\11240.jpg
RABANNE OLYMPEA ELIXIR EAU DE PARFUM INTENSE,,80ml,$261.500,,"Dejá que tu aura de verano brille con OLYMPÉA Elixir de Rabanne: una firma femenina intensa y solar de piña jugosa, jazmín precioso y monoi tropical que captura la calidez de los rayos dorados del atardecer, envolviendo la piel en luz.",11239,https://www.rp-luxury.com/es/fragancias-femeninas/11239-6939-rabanne-olympea-elixir-eau-de-parfum-intense.html#/29-talla-80ml,C:\Users\Bruno\Downloads\Imagenes_fragancias_femeninas\11239.jpg
GUCCI GUILTY ABSOLU DE PARFUM POUR FEMME,,60ml,$362.250,,"Las nuevas fragancias Gucci Guilty reflejan el arte de la elegancia, transportando a quien las disfruta a un lugar íntimo de sofisticación. Gucci Guilty Absolu de Parfum Pour Femme es una fragancia intensa, con toques de ámbar floral. En las notas de corazón, un oscuro acorde de amaretto de café ofrece un aroma exquisito y aterciopelado, que se profundiza con la calidez cremosa del absoluto de haba tonka. Un delicado acorde de glicina añade contraste con un matiz dulce y texturizado.",11230,https://www.rp-luxury.com/es/fragancias-femeninas/11230-6929-gucci-guilty-absolu-de-parfum-pour-femme.html#/28-talla-60ml,C:\Users\Bruno\Downloads\Imagenes_fragancias_femeninas\11230.jpg
LACOSTE ROSE EAU DE TOILETTE INTENSE,,100ml,$209.000,,"L.12.12 Rose Eau Intense, inspirada en el icónico polo Lacoste, revela una feminidad atrevida a través de una fragancia floral amaderada.",11216,https://www.rp-luxury.com/es/fragancias-femeninas/11216-6918-lacoste-rose-eau-de-toilette-intense.html#/34-talla-100ml,C:\Users\Bruno\Downloads\Imagenes_fragancias_femeninas\11216.jpg
LATTAFA BADEE AL OUD NOBLE 100 Ml,,100ml,$109.990,,"Descubre el encanto cautivador de Badee Al Oud Noble Blush, una fragancia que captura la esencia de una dulce y onírica fantasía. Con una nota de salida de delicada leche de rosas, este aroma se abre con un toque suave y romántico. Las notas de corazón de almendra y merengue aportan una riqueza deliciosamente suave y cremosa, mientras que las notas de fondo de sándalo, vainilla y almizcle añaden calidez y profundidad, creando un acabado aterciopelado irresistible. Perfectamente elaborada para evocar una sensación de asombro, Noble Blush es una verdadera delicia de la colección Badee Al Oud, que convierte cada momento en un soplo de puro encanto.",11207,https://www.rp-luxury.com/es/fragancias-femeninas/11207-6909-lattafa-badee-al-oud-noble-100-ml.html#/34-talla-100ml,C:\Users\Bruno\Downloads\Imagenes_fragancias_femeninas\11207.jpg
MUGLER ALIEN PULP EAU DE PARFUM FRUITÉE RECARGABLE,,30ml | 60ml | 90ml,$208.000,,"Adéntrate en una dimensión de sensualidad con Alien Pulp Eau de Parfum, una fragancia floral frutal rebosante de feminidad vibrante. Diseñada por Dominique Ropion, maestro perfumista y creador del clásico Alien Eau de Parfum, esta EDP fue creada para brindar una experiencia olfativa casi palpable. Perfil de la fragancia Alien Pulp Alien Pulp EDP reinventa la icónica esencia de Alien con un toque frutal moderno: radiante, audaz e inolvidable. Esta fragancia frutal y floral es ideal para la primavera y el verano. La jugosa frambuesa rosa irradia dulzura pulposa, envuelta en el brillo cremoso del jazmín para una esencia supra sensual que perdura maravillosamente en la piel. Un toque cítrico de esencias de naranja dulce y mandarina verde realza aún más esta fragancia. Las maderas aterciopeladas aportan equilibrio y profundidad, creando un contraste irresistible de luminosidad y calidez.",11201,https://www.rp-luxury.com/es/fragancias-femeninas/11201-6905-mugler-alien-pulp-eau-de-parfum-fruitee-recargable.html#/32-talla-30ml,C:\Users\Bruno\Downloads\Imagenes_fragancias_femeninas\11201.jpg
