nombre,marca,cantidades_disponibles,precio,precio_original,descripcion,referencia,url_producto,url_imagen
CAROLINA HERRERA CH MEN SWING LIMITED EDITION EDP,,100ml,$218.400,,"CH Men Swing de Carolina Herrera se abre con un pistacho verde vibrante que aporta un frescor inmediato, siguiendo hacia un acorde de ante suave con matices de cuero sutiles y refinados, y se asienta en una base cálida de cashmeran. Brillante al inicio, suave en el corazón y sofisticado al final: una firma versátil que transmite seguridad sin alardes. Confianza, gracia y un encanto atemporal reunidos en una firma masculina e irresistible.",11287,https://www.rp-luxury.com/es/fragancias-masculinas/11287-6982-carolina-herrera-ch-men-swing-limited-edition-edp.html#/34-talla-100ml,C:\Users\Bruno\Downloads\Imagenes_fragancias_masculinas\11287.jpg
JACQUES BOGART SILVER SCENT PLATINIUM EDP,,100ml,$98.900,,"Silver Scent Platinium, con su toque contemporáneo, captura la esencia del éxito y el carisma del hombre que supera todos los desafíos. Sumamente irresistible, esta fragancia se abre con una vibrante explosión de frescura que combina la energía de la pimienta rosa con el cardamomo picante, mientras que el elemí aporta un matiz resinoso y chispeante.",11286,https://www.rp-luxury.com/es/fragancias-masculinas/11286-6981-jacques-bogart-silver-scent-platinium-edp.html#/34-talla-100ml,C:\Users\Bruno\Downloads\Imagenes_fragancias_masculinas\11286.jpg
AZZARO FOREVER WANTED ABSOLU PARFUM,,50ml | 100ml,$265.000,,"Descubre Azzaro Forever Wanted Absolu Parfum, la interpretación más lujosa y refinada de la icónica línea Wanted. Profunda, intensa y magnética, esta fragancia masculina fue creada para hombres que destacan naturalmente y convierten cada presencia en algo imposible de olvidar. Con una intensidad de hasta 24 horas, Azzaro Forever Wanted Absolu Parfum transmite seguridad, sofisticación y una personalidad poderosa. Una fragancia diseñada para el hombre que siempre va un paso adelante, dejando una impresión inolvidable en cada momento.",11285,https://www.rp-luxury.com/es/fragancias-masculinas/11285-6979-azzaro-forever-wanted-absolu-parfum.html#/33-talla-50ml,C:\Users\Bruno\Downloads\Imagenes_fragancias_masculinas\11285.jpg
COACH PURE PLATINUM PARFUM,,100ml,$262.400,,Pure Platinum es una fragancia atrevida con un toque urbano y un espíritu expresivo inspirado en la arquitectura dinámica de Manhattan y la estética elegante del metal y el cristal.,11271,https://www.rp-luxury.com/es/fragancias-masculinas/11271-6964-coach-pure-platinum-parfum.html#/34-talla-100ml,C:\Users\Bruno\Downloads\Imagenes_fragancias_masculinas\11271.jpg
VALENTINO UOMO BORN IN ROMA PURPLE MELANCHOLIA EDT,,100ml,$349.000,,"Un nuevo tono en el armario de Born in Roma. Purple Melancholia celebra un momento de introspección profunda y positiva, es un abrazo nostálgico de las experiencias que han moldeado quién es usted y la exaltación de un viaje que libera emociones auténticas y celebra su singularidad.",11243,https://www.rp-luxury.com/es/fragancias-masculinas/11243-6944-valentino-uomo-born-in-roma-purple-melancholia-edt.html#/34-talla-100ml,C:\Users\Bruno\Downloads\Imagenes_fragancias_masculinas\11243.jpg
ARMANI STRONGER WITH YOU POWERFULLY EDP,,100ml,$409.000,,"Presentamos la nueva STRONGER WITH YOU POWERFULLY, una fragancia irresistible que añade un toque ahumado a su icónico aroma, intensificando su característico acorde de castaña azucarada con un nuevo y delicioso acorde de cereza dulce. Alcanza un nuevo nivel de intensidad, con una duración de 24 horas.",11242,https://www.rp-luxury.com/es/fragancias-masculinas/11242-6943-armani-stronger-with-you-powerfully-edp.html#/34-talla-100ml,C:\Users\Bruno\Downloads\Imagenes_fragancias_masculinas\11242.jpg
ARMANI ACQUA DI GIO EAU DE PARFUM INTENSE,,50ml | 100ml,$239.000,,"Presentamos ACQUA DI GIÒ EAU DE PARFUM INTENSE Intense de Giorgio Armani, la potente fragancia que captura la intensidad elemental del momento en que el mar se encuentra con la tierra. Evocando una sensación vigorizante de frescura, esta nueva fragancia reinterpreta la mezcla característica de Acqua Di Giò, amplificando la intensidad sensual de las maderas y el auge de frescura acuática. El resultado es un viaje olfativo que es más poderoso, duradero y cautivador que nunca. Fusionando un vibrante corazón de bergamota, un acorde acuático vigorizante y potentes notas amaderadas y ámbar, esta nueva fragancia ofrece un sillage intenso y duradero. Su potente profundidad se refleja en un frasco cubierto de lacado negro intenso.",11241,https://www.rp-luxury.com/es/fragancias-masculinas/11241-6941-armani-acqua-di-gio-eau-de-parfum-intense.html#/33-talla-50ml,C:\Users\Bruno\Downloads\Imagenes_fragancias_masculinas\11241.jpg
HERMES UN JARDIN SOUS LA MER EAU DE TOILETTE RECARGABLE,,100ml,$339.000,,"LA CREACIÓN Con el eau de toilette Un Jardin sous la Mer, Christine Nagel, perfumista de Hermès, responde a la llamada del mar e invita a descubrir un jardín inesperado. Nos transporta a una escala lejana en la Polinesia, en la isla de Tahaa. Un lugar protegido, en el que montes y arrecifes, plantas y corales dialogan en perfecta armonía.",11240,https://www.rp-luxury.com/es/fragancias-masculinas/11240-6940-hermes-un-jardin-sous-la-mer-eau-de-toilette-recargable.html#/34-talla-100ml,C:\Users\Bruno\Downloads\Imagenes_fragancias_masculinas\11240.jpg
RABANNE INVICTUS ELIXIR PARFUM ELIXIR,,100ml,$285.000,,"Entrá al estadio, sentí la intensidad. Descubrí INVICTUS Elixir de Rabanne: una mezcla vibrante de intensidad épica que fusiona un acorde mineral salado, ciprés aromático y un opulento caviar de vainilla. Un trofeo dorado creado para campeones",11238,https://www.rp-luxury.com/es/fragancias-masculinas/11238-6938-rabanne-invictus-elixir-parfum-elixir.html#/34-talla-100ml,C:\Users\Bruno\Downloads\Imagenes_fragancias_masculinas\11238.jpg
CAROLINA HERRERA 212 MEN PARFUM EAU DE PARFUM,,50ml | 100ml,$205.000,,"212 Men Parfum de Carolina Herrera es una fragancia amaderada ambarada especiada diseñada para un hombre que vive según sus propias reglas, guiado por el placer y no por la presión. Se abre con jengibre caramelizado y especias, evoluciona hacia una lavanda aromática y se asienta en maderas con notas de cuero y ámbar. Perfecta para una noche inolvidable, un encuentro cercano o cualquier momento que requiera dejar huella se convierte en parte de su sello personal.",11237,https://www.rp-luxury.com/es/fragancias-masculinas/11237-6936-carolina-herrera-212-men-parfum-eau-de-parfum.html#/33-talla-50ml,C:\Users\Bruno\Downloads\Imagenes_fragancias_masculinas\11237.jpg
GUCCI GUILTY ABSOLU DE PARFUM POUR HOMME,,60ml,$362.250,,"Las nuevas fragancias Gucci Guilty reflejan el arte de la elegancia, transportando a quien las disfruta a un lugar íntimo de sofisticación. Gucci Guilty Absolu de Parfum Pour Homme es una fragancia intensa, con toques de ámbar amaderado. En las notas de corazón, un rico acorde de ron ofrece calidez y profundidad, que se realzan con la luminosidad del absoluto de azahar. Un toque de chile rojo añade un contraste chispeante, aumentando la complejidad de la fragancia.",11231,https://www.rp-luxury.com/es/fragancias-masculinas/11231-6930-gucci-guilty-absolu-de-parfum-pour-homme.html#/28-talla-60ml,C:\Users\Bruno\Downloads\Imagenes_fragancias_masculinas\11231.jpg
CALVIN KLEIN CK ONE NIGHT ESSENCE PARFUM INTENSE,,100ml,$225.398,,"Seductora. Magnética. Inmersiva. ck one night essence se inspira en la expectación del anochecer, ese momento lleno de energía en el que el día se desvanece y todo parece posible Presentamos la nueva seducción de Calvin Klein.",11229,https://www.rp-luxury.com/es/fragancias-masculinas/11229-6928-calvin-klein-ck-one-night-essence-parfum-intense.html#/34-talla-100ml,C:\Users\Bruno\Downloads\Imagenes_fragancias_masculinas\11229.jpg
LACOSTE ORIGINAL AQUA EAU DE PARFUM,,60ml | 100ml,$176.000,,"Sumérgete en una frescura intensa e inesperada con Lacoste Original Aqua, donde la energía vibrante se encuentra con el espíritu atemporal del Original. Este Eau de Parfum amaderado y acuático presenta un dinámico dúo aromático de salvia esclarea y lavanda que da paso a un corazón marino realzado por un exclusivo acorde de caviar. Las profundidades ricas y refinadas del vetiver realzan la elegancia de esta fragancia distintiva. El frasco se reinventa en un luminoso tono azul acuático que evoca libertad y evasión.",11226,https://www.rp-luxury.com/es/fragancias-masculinas/11226-6925-lacoste-original-aqua-eau-de-parfum-.html#/28-talla-60ml,C:\Users\Bruno\Downloads\Imagenes_fragancias_masculinas\11226.jpg
HALLOWEEN MY WORLD EAU DE PARFUM,,125ml,$174.000,,Eau de Parfum Un Eau de Parfum vibrante y especiado que sorprende con su sofisticada combinación de notas florales y aromáticas. Creado por la perfumista Alexandra Monet. Amaderada-Aromática-Especiada,11225,https://www.rp-luxury.com/es/fragancias-masculinas/11225-6924-halloween-my-world-eau-de-parfum.html#/30-talla-125ml,C:\Users\Bruno\Downloads\Imagenes_fragancias_masculinas\11225.jpg
KARL LAGERFELD CLASSIC GREY EAU DE TOILETTE,,100ml,$120.000,,Lagerfeld Classic Grey de Karl Lagerfeld es una fragancia de la familia olfativa para Hombres. Esta fragancia es nueva. Lagerfeld Classic Grey se lanzó en 2022. La Nariz detrás de esta fragancia es Alexis Dadier.,11214,https://www.rp-luxury.com/es/fragancias-masculinas/11214-6916-karl-lagerfeld-classic-grey-eau-de-toilette.html#/34-talla-100ml,C:\Users\Bruno\Downloads\Imagenes_fragancias_masculinas\11214.jpg
LATTAFA BADEE SUBLIME DEO 200 Ml,,200ml,$9.990,,"Bade'e Al Oud Sublime de Lattafa Perfumes es una fragancia amaderada aromática para hombre y mujer. Sus notas de salida son manzana, lichi y rosa; las notas de corazón son ciruela y jazmín; y las notas de fondo son vainilla, musgo y pachulí.",11208,https://www.rp-luxury.com/es/fragancias-masculinas/11208-6910-lattafa-badee-sublime-deo-200-ml.html#/26-talla-200ml,C:\Users\Bruno\Downloads\Imagenes_fragancias_masculinas\11208.jpg
ARMANI CODE ELIXIR PARFUM,,50ml,$265.000,,"Una nueva intensidad potente y cautivadora. Giorgio Armani desvela ARMANI CODE ELIXIR, una nueva fragancia potente y la más concentrada de la gama ARMANI CODE. ARMANI CODE ELIXIR, con su potente concentración, es una fusión de notas ambarinas, coriáceas y especiadas que entrelaza una masculinidad magnética con una calidez cautivadora. El elegante vidrio negro opaco conserva la característica forma cuadrada y redondeada de ARMANI CODE, ahora realzada por una reluciente placa plateada grabada con el nombre de la fragancia. Un tapón negro magnético corona el frasco, cuya base plateada añade un toque final de lujo refinado.",11191,https://www.rp-luxury.com/es/fragancias-masculinas/11191-6903-armani-code-elixir-parfum.html#/33-talla-50ml,C:\Users\Bruno\Downloads\Imagenes_fragancias_masculinas\11191.jpg
RALPH LAUREN POLO 67 EDP EXTREME,,125ml,$379.000,,"El eau de parfum Polo 67 Extreme es una versión más concentrada y sensual de la fragancia Polo 67, con un elegante toque de cuero. Polo 67 Extreme es una fragancia cítrica amaderada brillante, fresca y potente que combina de manera única acordes de piña, bergamota de Calabria y vetiver. El frasco, diseñado con detalles metálicos plateados y un tapón azul medianoche, agrega un toque divertido al icónico logotipo de Polo con una referencia a 1967, el año en que Ralph Lauren lanzó su marca Polo.",11190,https://www.rp-luxury.com/es/fragancias-masculinas/11190-6902-ralph-lauren-polo-67-edp-extreme.html#/30-talla-125ml,C:\Users\Bruno\Downloads\Imagenes_fragancias_masculinas\11190.jpg
CAROLINA HERRERA BAD BOY COBALT ABSOLUTE EAU DE PARFUM,,50ml | 100ml | 150ml,$230.000,,"Bad Boy Cobalt Absolute Eau de Parfum para hombre es el Bad Boy más seductor y lujoso hasta ahora. Primero se perciben la lavanda azul y la salvia, seguidas por la trufa blanca y la vainilla dorada, para finalizar con madera de roble suave que deja un rastro amaderado profundo, rico y refinado.",11179,https://www.rp-luxury.com/es/fragancias-masculinas/11179-6878-carolina-herrera-bad-boy-cobalt-absolute-eau-de-parfum.html#/33-talla-50ml,C:\Users\Bruno\Downloads\Imagenes_fragancias_masculinas\11179.jpg
CAROLINA HERRERA 212 VIP BLACK CAB EAU DE PARFUM LIMITED EDITION,,100ml,$211.880,,"212 VIP Black Cab Eau de Parfum es una edición limitada del icónico 212 VIP Black, inspirada en el legendario taxi amarillo de Nueva York. La jugosa piña y la nota característica de absenta aportan un comienzo fresco y vibrante, mientras que el caramelo suave y el pachulí terroso añaden calidez y sensualidad. El resultado es una fragancia magnética que captura el pulso de Nueva York al anochecer.",11177,https://www.rp-luxury.com/es/fragancias-masculinas/11177-6876-carolina-herrera-212-vip-black-cab-eau-de-parfum-limited-edition.html#/34-talla-100ml,C:\Users\Bruno\Downloads\Imagenes_fragancias_masculinas\11177.jpg
RABANNE ONE MILLION NIGHT ELIXIR PARFUM,,100ml,$256.000,,"Desbloqueá la noche con 1 Million Night Elixir: el dorado se encuentra con el negro por primera vez. El hombre Million no tiene horario de regreso. Bajo las luces de los clubes nocturnos, el gourmand de jarabe de arce y la mandarina fresca remezclan la sensualidad ambarada de Million, con una adicción sin límites.",11176,https://www.rp-luxury.com/es/fragancias-masculinas/11176-6875-rabanne-one-million-night-elixir-parfum-.html#/34-talla-100ml,C:\Users\Bruno\Downloads\Imagenes_fragancias_masculinas\11176.jpg
BURBERRY HERO ELIXIR PARFUM INTENSE,,60ml,$362.250,,"La fragancia más intensa de la familia Hero, Burberry Hero Elixir de Parfum, equilibra suavidad y fuerza. Una impactante combinación de haba tonka envolvente, vainilla con toques de cuero y un vibrante trío de madera de cedro captura la dualidad de la masculinidad.",11172,https://www.rp-luxury.com/es/fragancias-masculinas/11172-6865-burberry-hero-elixir-parfum-intense.html#/28-talla-60ml,C:\Users\Bruno\Downloads\Imagenes_fragancias_masculinas\11172.jpg
GISADA AMBASSADOR FOR MEN EAU DE PARFUM,,100ml,$259.500,,"Con su carácter fresco y masculino y sus sutiles toques orientales, esta fragancia es una expresión de individualidad y presencia.",11159,https://www.rp-luxury.com/es/fragancias-masculinas/11159-6850-gisada-ambassador-for-men-eau-de-parfum.html#/34-talla-100ml,C:\Users\Bruno\Downloads\Imagenes_fragancias_masculinas\11159.jpg
GISADA AMBASSADOR INTENSE EAU DE PARFUM,,100ml,$304.500,,"Ambassador Intense hace honor a su nombre, llevando una fragancia clásica a nuevos e intensos niveles. Sus ricas impresiones aromáticas masculinas son profundas y se ven realzadas por cálidos tonos orientales.",11158,https://www.rp-luxury.com/es/fragancias-masculinas/11158-6849-gisada-ambassador-intense-eau-de-parfum.html#/34-talla-100ml,C:\Users\Bruno\Downloads\Imagenes_fragancias_masculinas\11158.jpg
GIVENCHY GENTLEMAN SOCIETY SPORT EAU DE PARFUM,,60ml | 100ml,$216.500,,"Eau de Parfum Gentleman Society expresa una nueva forma de ser un caballero: decidido, audaz, siempre en movimiento. La fragancia se abre con la radiante intensidad de un cuarteto cítrico, cada uno lleno de energía: el primofiore por su luminosidad verde y picante, el cítrico invernal para una frescura chispeante y agria, los cítricos de primavera por notas jugosas y afrutadas, y el verdello de verano para una frescura ácida y aromática. A continuación, sumérgete en la elegancia floral del Absoluto de Narciso, sublimado por la profundidad del icónico cuarteto de Vetiver. En la base, las maderas ambarinas aportan una intensidad singular a los caballeros en busca de mejora constante. El icónico frasco Gentleman Society adquiere un look deportivo con un nuevo lacado degradado negro que revela un elixir azul frío que evoca el carácter fresco de la fragancia. Queda realzado con la palabra ""Sport"", que se imprime en rojo vibrante para simbolizar la velocidad.",11142,https://www.rp-luxury.com/es/fragancias-masculinas/11142-6843-givenchy-gentleman-society-sport-eau-de-parfum.html#/28-talla-60ml,C:\Users\Bruno\Downloads\Imagenes_fragancias_masculinas\11142.jpg
JEAN PAUL GAULTIER LE BEAU NARCISSE EDP,,125ml,$268.000,,"En un Edén recubierto de oro y piedras preciosas, Jean Paul Gaultier presenta Le Beau Narcisse eau de parfum. Irresistible y deseado, su estela ambarina y almizclada habla por sí misma como una caricia prohibida. Sobre su piel, la bergamota estalla con frescura, el almizcle se revela con matices carnales y el haba tonka despliega un suspiro intensamente sensual. Con la piel desnuda, envuelto en un pañuelo dorado, Le Beau Narcisse no busca la atención, la atrae irresistiblemente...",11117,https://www.rp-luxury.com/es/fragancias-masculinas/11117-6811-jean-paul-gaultier-le-beau-narcisse-edp.html#/30-talla-125ml,C:\Users\Bruno\Downloads\Imagenes_fragancias_masculinas\11117.jpg
MONTBLANC STAR OUD WARM WOODS EDP 125 Ml,,125ml,$374.000,,Una mezcla cautivadora de cálidas especias y maderas preciosas exhibe el arte magistral de la artesanía de Montblanc. La fuerza y majestuosidad del acorde de oud están ingeniosamente envueltas en una embriagadora fusión de cardamomo y sándalo.,11112,https://www.rp-luxury.com/es/fragancias-masculinas/11112-6805-montblanc-star-oud-warm-woods-edp-125-ml.html#/30-talla-125ml,C:\Users\Bruno\Downloads\Imagenes_fragancias_masculinas\11112.jpg
KARL LAGERFELD MATIERES BOIS DE SANTAL EDT 100 Ml,,100ml,$120.000,,"Su sensualidad y resplandor olfativo se intensifican al entrar en contacto con el sagrado palo santo. Esta potente fragancia amaderada se ve realzada por el haba tonka y el ámbar, dejando una estela intensa y cálida en la piel.",11110,https://www.rp-luxury.com/es/fragancias-masculinas/11110-6803-karl-lagerfeld-matieres-bois-de-santal-edt-100-ml.html#/34-talla-100ml,C:\Users\Bruno\Downloads\Imagenes_fragancias_masculinas\11110.jpg
LACOSTE ORIGINAL PARFUM,,60ml | 100ml,$220.000,,"Lacoste Original Eau de Parfum, una fragancia amaderada fougere única. La frescura de la bergamota y los toques especiados ofrecen una apertura explosiva. La lavanda refuerza el corazón aromático intenso. Las sensuales notas de fondo de sándalo y pachulí revelan una firma moderna y adictiva. El frasco elegante e icónico refleja el aspecto elegante y asertivo de la fragancia. Pierre Niney encarna el espíritu del hombre Lacoste Original.",11099,https://www.rp-luxury.com/es/fragancias-masculinas/11099-6797-lacoste-original-parfum.html#/34-talla-100ml,C:\Users\Bruno\Downloads\Imagenes_fragancias_masculinas\11099.jpg
GISADA TITANIUM EAU DE PARFUM 100 Ml,,100ml,$316.500,,"El éxito tiene un olor. Titanium de Gisada Switzerland es la fragancia para el hombre moderno. Las notas distintivas de madera y ámbar encarnan la confianza y la ambición de un hombre que marca su propio camino. Reclama tu lugar en primera línea. Sofisticación y ambición: Destaca cómo el titanio eleva al usuario, un hombre en el camino hacia el éxito. No se trata solo del destino, sino de las decisiones que toma en el camino.",11096,https://www.rp-luxury.com/es/fragancias-masculinas/11096-6789-gisada-titanium-eau-de-parfum-100-ml.html#/34-talla-100ml,C:\Users\Bruno\Downloads\Imagenes_fragancias_masculinas\11096.jpg
RABANNE PHANTOM IN RED PARFUM ELIXIR,,50ml | 100ml | 150ml,$195.000,,"El tamaño 150 Ml de la fragancia Rabanne Phantom In Red Parfum Elixir es Recargable Si el amor es un juego, él rompe todas las reglas. El ave nocturna rock and roll de Rabanne regresa con PHANTOM IN RED Parfum Elixir. Una potente fragancia masculina ámbar aromática amaderada, creada para hombres que nacieron para destacar.",8125,https://www.rp-luxury.com/es/fragancias-masculinas/8125-6767-rabanne-phantom-in-red-parfum-elixir-.html#/33-talla-50ml,C:\Users\Bruno\Downloads\Imagenes_fragancias_masculinas\8125.jpg
DAVIDOFF COOL ELIXIR OUD AROMATIQUE PARFUM INTENSE,,50ml | 100ml,$130.680,,"Descubre el Davidoff Cool Elixir, el tesoro aromático del oud. Cool Elixir introduce una noble firma olfactiva—a la vez tan sensual y rara. De una textura soberbia, tres ingredientes le dan a la fragancia amaderada su perfil elegante y precioso.",8120,https://www.rp-luxury.com/es/fragancias-masculinas/8120-6759-davidoff-cool-elixir-oud-aromatique-parfum-intense.html#/33-talla-50ml,C:\Users\Bruno\Downloads\Imagenes_fragancias_masculinas\8120.jpg
CALVIN KLEIN DEFY PARFUM 200 Ml,,200ml,$300.000,,"Intenso. Desafiante. Sensual. Calvin Klein Defy Parfum es un nuevo perfume masculino para el rebelde definitivo. Aún más audaz, la fragancia premium CK para hombre abarca el mismo ADN amaderado característico, con un toque inesperado y cautivador, más cálido y oscuro. Una explosión de aceite de mandarina y cardamomo, combinada con lavanda y cáscara de cacao, crea un nuevo aroma poderoso y adictivo. La fragancia se abre con una brillante y luminosa nota de pimienta rosa. En el corazón, la lavanda aporta una frescura natural. En la base de la fragancia Calvin Klein, la cáscara de cacao reciclada de origen responsable añade una rica profundidad gourmand que huele increíble.",8119,https://www.rp-luxury.com/es/fragancias-masculinas/8119-6758-calvin-klein-defy-parfum-200-ml.html#/26-talla-200ml,C:\Users\Bruno\Downloads\Imagenes_fragancias_masculinas\8119.jpg
BOSS HUGO SUPERMAN EAU DE PARFUM 125 Ml,,125ml,$219.590,,"Desata tu héroe interior con SUPERMAN x HUGO for Him Colección Eau de Parfum. Disponible en un frasco de 125 ml que muestra el escudo de Superman, esta icónica combinación encarna poder y actitud.",8117,https://www.rp-luxury.com/es/fragancias-masculinas/8117-6755-boss-hugo-superman-eau-de-parfum-125-ml.html#/30-talla-125ml,C:\Users\Bruno\Downloads\Imagenes_fragancias_masculinas\8117.jpg
TOMMY HILFIGER TOMMY NOW MEN EDT 100 Ml,,100ml,$154.000,,"Combinando cítricos frescos con madera de ámbar sensual, esta seductora fragancia de Tommy Now viene en una botella de 100 ml que se puede llevar en el equipaje de mano.",8098,https://www.rp-luxury.com/es/fragancias-masculinas/8098-6674-tommy-hilfiger-tommy-now-men-edt-100-ml.html#/34-talla-100ml,C:\Users\Bruno\Downloads\Imagenes_fragancias_masculinas\8098.jpg
CALVIN KLEIN CK ONE ESSENCE VIVA LOVE PARFUM INTENSE 100 Ml,,100ml,$200.675,,"La intensidad de CK One Essence Parfum Intense vuelve renovada en esta edición limitada, reinterpretada por el artista visual Marc Hundley. Su silueta minimalista se combina con detalles gráficos vibrantes que celebran el espíritu de unión. ¡Viva el amor!",8088,https://www.rp-luxury.com/es/fragancias-masculinas/8088-6664-calvin-klein-ck-one-essence-viva-love-parfum-intense-100-ml.html#/34-talla-100ml,C:\Users\Bruno\Downloads\Imagenes_fragancias_masculinas\8088.jpg
